epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.571,1.76087,3.72213,1.7242,0.00676,0.66038,0.13824,0.06508,1.83455,3.63158,1.58801,0.0703797,0.00329114,0.00329114
2,286.3,1.64523,2.8734,1.57763,0.2651,0.12955,0.11992,0.05331,2.04038,2.66867,1.85454,0.0403142,0.00655889,0.00655889
3,415.946,1.6919,2.16392,1.62122,0.47818,0.11244,0.09158,0.04518,2.07026,2.82954,1.88065,0.0101826,0.00976064,0.00976064
4,572.047,1.68752,1.98485,1.60771,0.18273,0.10063,0.07665,0.03511,2.12774,3.3155,2.09577,0.009703,0.009703,0.009703
5,727.256,1.65603,1.91351,1.60888,0.19866,0.08279,0.06819,0.02773,2.21729,2.82637,2.1551,0.009604,0.009604,0.009604
6,4245.82,1.64753,1.89463,1.6076,0.22278,0.08339,0.0608,0.02926,2.09289,2.65286,1.94982,0.009505,0.009505,0.009505
7,4399.21,1.61282,1.85465,1.59306,0.48417,0.12847,0.12885,0.05878,1.87494,2.09391,1.75242,0.009406,0.009406,0.009406
8,6050.61,1.58188,1.81526,1.592,0.30716,0.10099,0.07858,0.0384,1.94913,2.57763,1.7823,0.009307,0.009307,0.009307
9,6212.13,1.58901,1.76899,1.57393,0.26453,0.11057,0.08564,0.04399,1.98986,2.70467,1.8935,0.009208,0.009208,0.009208
10,6370.14,1.55925,1.7373,1.56016,0.38032,0.13336,0.11202,0.04668,2.01087,2.14262,1.83315,0.009109,0.009109,0.009109
11,6577.24,1.57482,1.71755,1.5568,0.3666,0.11907,0.11108,0.05287,1.89426,2.01003,1.76232,0.00901,0.00901,0.00901
12,6761.9,1.53999,1.70737,1.55822,0.28599,0.08331,0.07477,0.03516,2.08512,2.82519,2.04364,0.008911,0.008911,0.008911
13,6995.34,1.53436,1.66889,1.55049,0.36826,0.08861,0.08707,0.04527,1.89665,2.04869,1.7555,0.008812,0.008812,0.008812
14,7215.01,1.5441,1.67314,1.53998,0.35621,0.11624,0.11432,0.05438,1.78611,1.90609,1.6802,0.008713,0.008713,0.008713
15,7444.72,1.51064,1.62139,1.52496,0.28,0.10358,0.08632,0.04664,1.82167,1.9612,1.662,0.008614,0.008614,0.008614
16,7675.33,1.50257,1.60676,1.51068,0.29957,0.13171,0.11121,0.06213,1.75822,2.01837,1.63033,0.008515,0.008515,0.008515
17,7911.78,1.52176,1.60819,1.5229,0.34557,0.1004,0.09619,0.04713,1.86046,2.16215,1.76618,0.008416,0.008416,0.008416
18,8149.63,1.49625,1.60293,1.51941,0.50456,0.11482,0.12041,0.05953,2.01325,2.12103,1.84002,0.008317,0.008317,0.008317
19,8424.18,1.50605,1.59793,1.52348,0.32648,0.15863,0.13707,0.06281,1.99315,1.9506,1.8151,0.008218,0.008218,0.008218
20,8660.75,1.47135,1.56443,1.50644,0.3893,0.10393,0.1008,0.05397,1.77841,1.71111,1.62402,0.008119,0.008119,0.008119
21,8912.35,1.4838,1.55841,1.50004,0.34808,0.12606,0.11607,0.06524,1.74754,1.79796,1.65792,0.00802,0.00802,0.00802
22,9178.63,1.47511,1.53784,1.4955,0.49399,0.10805,0.10908,0.0569,1.77178,1.74003,1.67036,0.007921,0.007921,0.007921
23,9457.98,1.46498,1.50241,1.48852,0.40991,0.10833,0.10032,0.04317,1.79851,1.83309,1.65213,0.007822,0.007822,0.007822
24,9731.34,1.45456,1.53401,1.48753,0.6187,0.07139,0.04293,0.01543,2.57154,3.62086,2.58608,0.007723,0.007723,0.007723
25,10006.6,1.44065,1.49767,1.48192,0.28486,0.10074,0.08056,0.03525,1.96332,2.07347,1.85259,0.007624,0.007624,0.007624
26,10261.7,1.48096,1.51619,1.49211,0.38015,0.11243,0.10783,0.06058,1.6403,1.63616,1.53381,0.007525,0.007525,0.007525
27,10530.8,1.45117,1.48554,1.47533,0.36025,0.10271,0.09523,0.04607,1.75936,1.56188,1.63993,0.007426,0.007426,0.007426
28,10793.1,1.44963,1.48638,1.47578,0.3807,0.13705,0.12007,0.06111,1.84213,1.73931,1.67348,0.007327,0.007327,0.007327
29,11046.4,1.45088,1.47483,1.4751,0.40712,0.09855,0.10564,0.05888,1.60734,1.49319,1.51513,0.007228,0.007228,0.007228
